"CubeId";"SNB20@SNB.CTR.REAL"
"PublishingDate";"2023-11-07 08:55"

"Date";"frequency";"DEFL";"CTRY";"Value"
"2005-01";"P1M";"CPI";"PH";"139.60217121"
"2005-01";"P1M";"CPI";"PL";"96.16640164"
"2005-01";"P1M";"CPI";"PT";"89.07351173"
"2005-01";"P1M";"CPI";"RO";"86.63127207"
"2005-01";"P1M";"CPI";"RU";"84.77518523"
"2005-01";"P1M";"CPI";"SA";"145.38872173"
"2005-01";"P1M";"CPI";"SE";"98.91361787"
"2005-01";"P1M";"CPI";"SG";"137.30097933"
"2005-01";"P1M";"CPI";"SI";"91.8747554"
"2005-01";"P1M";"CPI";"SK";"70.38064467"
"2005-01";"P1M";"CPI";"TH";"122.55734839"
"2005-01";"P1M";"CPI";"TR";"109.11439518"
"2005-01";"P1M";"CPI";"US";"134.3744141"
"2005-01";"P1M";"CPI";"ZA";"96.815805"
"2005-01";"P1M";"PPI";"AR";"193.54837449"
"2005-01";"P1M";"PPI";"AT";"91.98692829"
"2005-01";"P1M";"PPI";"AU";"95.11053363"
"2005-01";"P1M";"PPI";"BE";"91.97744251"
"2005-01";"P1M";"PPI";"BG";"85.85330484"
"2005-01";"P1M";"PPI";"BR";"106.56549473"
"2005-01";"P1M";"PPI";"CA";"114.38849507"
"2005-01";"P1M";"PPI";"CL";"117.2636778"
"2005-01";"P1M";"PPI";"CN";"132.58014534"
"2005-01";"P1M";"PPI";"CYP";"89.6572423"
"2005-01";"P1M";"PPI";"CZ";"79.29279861"
"2005-01";"P1M";"PPI";"DE";"93.3768307"
"2005-01";"P1M";"PPI";"DK";"90.88874709"
"2005-01";"P1M";"PPI";"EE";"94.81431125"
"2005-01";"P1M";"PPI";"EG";"149.22210582"
"2005-01";"P1M";"PPI";"ES";"93.45086029"
"2005-01";"P1M";"PPI";"FI";"107.40814214"
"2005-01";"P1M";"PPI";"FR";"94.70522842"
"2005-01";"P1M";"PPI";"GB";"106.86546223"
"2005-01";"P1M";"PPI";"GR";"90.72188338"
"2005-01";"P1M";"PPI";"HK";"147.01047649"
"2005-01";"P1M";"PPI";"HR";"94.92385054"
"2005-01";"P1M";"PPI";"HU";"84.95988562"
"2005-01";"P1M";"PPI";"IE";"113.21497301"
"2005-01";"P1M";"PPI";"ILS";"132.63172661"
"2005-01";"P1M";"PPI";"IN";"113.0155017"
"2005-01";"P1M";"PPI";"IT";"93.93965221"
"2005-01";"P1M";"PPI";"JO";"197.7521096"
"2005-01";"P1M";"PPI";"JP";"136.50950511"
"2005-01";"P1M";"PPI";"KR";"113.23449445"
"2005-01";"P1M";"PPI";"LT";"93.11093431"
"2005-01";"P1M";"PPI";"LU";"85.08778049"
"2005-01";"P1M";"PPI";"LV";"103.93209704"
"2005-01";"P1M";"PPI";"MTL";"118.37447046"
"2005-01";"P1M";"PPI";"MX";"133.13063498"
"2005-01";"P1M";"PPI";"MY";"125.82910299"
"2005-01";"P1M";"PPI";"NL";"95.02285847"
"2005-01";"P1M";"PPI";"NO";"90.54028285"
"2005-01";"P1M";"PPI";"NZ";"84.68027743"
"2005-01";"P1M";"PPI";"PE";"125.45910153"
"2005-01";"P1M";"PPI";"PH";"115.34338934"
"2005-01";"P1M";"PPI";"PL";"93.15486472"
"2005-01";"P1M";"PPI";"PT";"92.42764367"
"2005-01";"P1M";"PPI";"RO";"71.59028024"
"2005-01";"P1M";"PPI";"RU";"83.76624565"
"2005-01";"P1M";"PPI";"SA";"136.61843641"
"2005-01";"P1M";"PPI";"SE";"102.03874021"
"2005-01";"P1M";"PPI";"SG";"130.96763367"
"2005-01";"P1M";"PPI";"SI";"98.4388218"
"2005-01";"P1M";"PPI";"SK";"74.46564137"
"2005-01";"P1M";"PPI";"TH";"109.10661507"
"2005-01";"P1M";"PPI";"TR";"91.49063158"
"2005-01";"P1M";"PPI";"US";"131.47523686"
"2005-01";"P1M";"PPI";"ZA";"103.82131611"
"2005-02";"P1M";"CPI";"AR";"275.91413865"
"2005-02";"P1M";"CPI";"AT";"92.79182079"
"2005-02";"P1M";"CPI";"AU";"91.29594051"
"2005-02";"P1M";"CPI";"BE";"92.99523442"
"2005-02";"P1M";"CPI";"BG";"83.78662447"
"2005-02";"P1M";"CPI";"BR";"134.05565408"
"2005-02";"P1M";"CPI";"CA";"108.49815207"
"2005-02";"P1M";"CPI";"CL";"132.29417308"
"2005-02";"P1M";"CPI";"CN";"137.38522084"
"2005-02";"P1M";"CPI";"CYP";"90.93516988"
"2005-02";"P1M";"CPI";"CZ";"79.9818324"
"2005-02";"P1M";"CPI";"DE";"95.15461408"
"2005-02";"P1M";"CPI";"DK";"93.3215011"
"2005-02";"P1M";"CPI";"EE";"88.79793491"
"2005-02";"P1M";"CPI";"EG";"177.34288419"
"2005-02";"P1M";"CPI";"ES";"88.92634899"
"2005-02";"P1M";"CPI";"FI";"96.56717808"
"2005-02";"P1M";"CPI";"FR";"93.11140896"
"2005-02";"P1M";"CPI";"GB";"106.09152152"
"2005-02";"P1M";"CPI";"GR";"88.11427924"
"2005-02";"P1M";"CPI";"HK";"155.94734574"
"2005-02";"P1M";"CPI";"HR";"91.16956263"
"2005-02";"P1M";"CPI";"HU";"74.3295963"
"2005-02";"P1M";"CPI";"IE";"87.80854708"
"2005-02";"P1M";"CPI";"ILS";"145.94642823"
"2005-02";"P1M";"CPI";"IN";"115.10898972"
"2005-02";"P1M";"CPI";"IT";"91.37173032"
"2005-02";"P1M";"CPI";"JO";"130.48422998"
"2005-02";"P1M";"CPI";"JP";"138.73085296"
"2005-02";"P1M";"CPI";"KR";"106.56642452"
"2005-02";"P1M";"CPI";"LT";"93.92099022"
"2005-02";"P1M";"CPI";"LU";"92.46052485"
"2005-02";"P1M";"CPI";"LV";"106.69105821"
"2005-02";"P1M";"CPI";"MTL";"96.60523203"
"2005-02";"P1M";"CPI";"MX";"141.92542366"
"2005-02";"P1M";"CPI";"MY";"136.6857033"
"2005-02";"P1M";"CPI";"NL";"91.05912131"
"2005-02";"P1M";"CPI";"NO";"96.8314769"
"2005-02";"P1M";"CPI";"NZ";"80.06907337"
"2005-02";"P1M";"CPI";"PE";"125.38903028"
"2005-02";"P1M";"CPI";"PH";"135.8179213"
"2005-02";"P1M";"CPI";"PL";"93.8604161"
"2005-02";"P1M";"CPI";"PT";"88.88210916"
"2005-02";"P1M";"CPI";"RO";"82.6294899"
"2005-02";"P1M";"CPI";"RU";"83.28306672"
"2005-02";"P1M";"CPI";"SA";"144.2282779"
"2005-02";"P1M";"CPI";"SE";"98.89077563"
"2005-02";"P1M";"CPI";"SG";"135.31914112"
"2005-02";"P1M";"CPI";"SI";"91.20576155"
"2005-02";"P1M";"CPI";"SK";"69.48491683"
"2005-02";"P1M";"CPI";"TH";"120.13493689"
"2005-02";"P1M";"CPI";"TR";"104.56408982"
"2005-02";"P1M";"CPI";"US";"132.61855475"
"2005-02";"P1M";"CPI";"ZA";"96.56019341"
"2005-02";"P1M";"PPI";"AR";"188.97513163"
"2005-02";"P1M";"PPI";"AT";"91.76015779"
"2005-02";"P1M";"PPI";"AU";"92.5207435"
"2005-02";"P1M";"PPI";"BE";"91.64896762"
"2005-02";"P1M";"PPI";"BG";"85.02585633"
"2005-02";"P1M";"PPI";"BR";"101.34766614"
"2005-02";"P1M";"PPI";"CA";"113.91421845"
"2005-02";"P1M";"PPI";"CL";"114.72475357"
"2005-02";"P1M";"PPI";"CN";"130.78560539"
"2005-02";"P1M";"PPI";"CYP";"89.59846452"
"2005-02";"P1M";"PPI";"CZ";"78.27448623"
"2005-02";"P1M";"PPI";"DE";"93.20555495"
"2005-02";"P1M";"PPI";"DK";"90.07490981"
"2005-02";"P1M";"PPI";"EE";"95.01376119"
"2005-02";"P1M";"PPI";"EG";"147.42312009"
"2005-02";"P1M";"PPI";"ES";"93.05841305"
"2005-02";"P1M";"PPI";"FI";"106.76935737"
"2005-02";"P1M";"PPI";"FR";"94.752468"
"2005-02";"P1M";"PPI";"GB";"104.8022546"
"2005-02";"P1M";"PPI";"GR";"89.91820658"
"2005-02";"P1M";"PPI";"HK";"145.7812384"
"2005-02";"P1M";"PPI";"HR";"94.63183354"
"2005-02";"P1M";"PPI";"HU";"84.12575912"
"2005-02";"P1M";"PPI";"IE";"112.55470767"
"2005-02";"P1M";"PPI";"ILS";"131.34698331"
"2005-02";"P1M";"PPI";"IN";"111.64600918"
"2005-02";"P1M";"PPI";"IT";"93.78004265"
"2005-02";"P1M";"PPI";"JO";"194.97073972"
"2005-02";"P1M";"PPI";"JP";"137.14190347"
"2005-02";"P1M";"PPI";"KR";"110.51366052"
"2005-02";"P1M";"PPI";"LT";"91.46263993"
"2005-02";"P1M";"PPI";"LU";"85.36862424"
"2005-02";"P1M";"PPI";"LV";"103.35578632"
"2005-02";"P1M";"PPI";"MTL";"118.4157386"
"2005-02";"P1M";"PPI";"MX";"130.2169957"
"2005-02";"P1M";"PPI";"MY";"123.33591055"
"2005-02";"P1M";"PPI";"NL";"94.19873947"
"2005-02";"P1M";"PPI";"NO";"88.85433122"
"2005-02";"P1M";"PPI";"NZ";"82.51831366"
"2005-02";"P1M";"PPI";"PE";"124.20459542"
"2005-02";"P1M";"PPI";"PH";"111.97099749"
"2005-02";"P1M";"PPI";"PL";"91.60014621"
"2005-02";"P1M";"PPI";"PT";"92.43020511"
"2005-02";"P1M";"PPI";"RO";"69.6561176"
"2005-02";"P1M";"PPI";"RU";"82.61501412"
"2005-02";"P1M";"PPI";"SA";"135.44248283"
"2005-02";"P1M";"PPI";"SE";"101.36990577"
"2005-02";"P1M";"PPI";"SG";"128.68377004"
"2005-02";"P1M";"PPI";"SI";"98.44116588"
"2005-02";"P1M";"PPI";"SK";"73.90920344"
"2005-02";"P1M";"PPI";"TH";"106.58852006"
"2005-02";"P1M";"PPI";"TR";"87.78287592"
"2005-02";"P1M";"PPI";"US";"129.16571981"
"2005-02";"P1M";"PPI";"ZA";"103.11616527"
"2005-03";"P1M";"CPI";"AR";"278.09537736"
"2005-03";"P1M";"CPI";"AT";"92.77484798"
"2005-03";"P1M";"CPI";"AU";"92.19637637"
"2005-03";"P1M";"CPI";"BE";"92.76098008"
"2005-03";"P1M";"CPI";"BG";"83.63893641"
"2005-03";"P1M";"CPI";"BR";"140.78924925"
"2005-03";"P1M";"CPI";"CA";"108.08496549"
"2005-03";"P1M";"CPI";"CL";"137.08904149"
"2005-03";"P1M";"CPI";"CN";"139.62450978"
"2005-03";"P1M";"CPI";"CYP";"91.18464744"
"2005-03";"P1M";"CPI";"CZ";"79.71313539"
"2005-03";"P1M";"CPI";"DE";"95.14102004"
"2005-03";"P1M";"CPI";"DK";"93.35489324"
"2005-03";"P1M";"CPI";"EE";"88.49115282"
"2005-03";"P1M";"CPI";"EG";"179.05082399"
"2005-03";"P1M";"CPI";"ES";"88.89763093"
"2005-03";"P1M";"CPI";"FI";"96.76986211"
"2005-03";"P1M";"CPI";"FR";"93.03442981"
"2005-03";"P1M";"CPI";"GB";"106.65733412"
"2005-03";"P1M";"CPI";"GR";"88.19307263"
"2005-03";"P1M";"CPI";"HK";"158.59950703"
"2005-03";"P1M";"CPI";"HR";"89.94758566"
"2005-03";"P1M";"CPI";"HU";"74.59068965"
"2005-03";"P1M";"CPI";"IE";"88.03655698"
"2005-03";"P1M";"CPI";"ILS";"146.95154438"
"2005-03";"P1M";"CPI";"IN";"116.5693198"
"2005-03";"P1M";"CPI";"IT";"91.42964283"
"2005-03";"P1M";"CPI";"JO";"132.2894447"
"2005-03";"P1M";"CPI";"JP";"141.5440697"
"2005-03";"P1M";"CPI";"KR";"106.56916949"
"2005-03";"P1M";"CPI";"LT";"93.87958828"
"2005-03";"P1M";"CPI";"LU";"92.52242714"
"2005-03";"P1M";"CPI";"LV";"106.5707976"
"2005-03";"P1M";"CPI";"MTL";"96.8351321"
"2005-03";"P1M";"CPI";"MX";"143.98051271"
"2005-03";"P1M";"CPI";"MY";"138.57150294"
"2005-03";"P1M";"CPI";"NL";"91.18298884"
"2005-03";"P1M";"CPI";"NO";"95.34523472"
"2005-03";"P1M";"CPI";"NZ";"79.62264336"
"2005-03";"P1M";"CPI";"PE";"127.09216445"
"2005-03";"P1M";"CPI";"PH";"136.40146693"
"2005-03";"P1M";"CPI";"PL";"94.97725259"
"2005-03";"P1M";"CPI";"PT";"89.25166422"
"2005-03";"P1M";"CPI";"RO";"81.46775837"
"2005-03";"P1M";"CPI";"RU";"82.58946139"
"2005-03";"P1M";"CPI";"SA";"146.57843004"
"2005-03";"P1M";"CPI";"SE";"99.6053613"
"2005-03";"P1M";"CPI";"SG";"136.92684971"
"2005-03";"P1M";"CPI";"SI";"90.87907736"
"2005-03";"P1M";"CPI";"SK";"69.98064953"
"2005-03";"P1M";"CPI";"TH";"121.6472199"
"2005-03";"P1M";"CPI";"TR";"105.91076844"
"2005-03";"P1M";"CPI";"US";"134.19400528"
"2005-03";"P1M";"CPI";"ZA";"98.2434529"
"2005-03";"P1M";"PPI";"AR";"189.18276505"
"2005-03";"P1M";"PPI";"AT";"91.38102853"
"2005-03";"P1M";"PPI";"AU";"93.5095596"
"2005-03";"P1M";"PPI";"BE";"90.82205498"
"2005-03";"P1M";"PPI";"BG";"83.6506237"
"2005-03";"P1M";"PPI";"BR";"105.22848201"
"2005-03";"P1M";"PPI";"CA";"113.52781277"
"2005-03";"P1M";"PPI";"CL";"117.50682872"
"2005-03";"P1M";"PPI";"CN";"132.25489963"
"2005-03";"P1M";"PPI";"CYP";"89.03456997"
"2005-03";"P1M";"PPI";"CZ";"77.73493117"
"2005-03";"P1M";"PPI";"DE";"92.80186877"
"2005-03";"P1M";"PPI";"DK";"88.40632151"
"2005-03";"P1M";"PPI";"EE";"95.13989819"
"2005-03";"P1M";"PPI";"EG";"149.83172203"
"2005-03";"P1M";"PPI";"ES";"92.78196267"
"2005-03";"P1M";"PPI";"FI";"106.176347"
"2005-03";"P1M";"PPI";"FR";"93.9478527"
"2005-03";"P1M";"PPI";"GB";"104.49691026"
"2005-03";"P1M";"PPI";"GR";"89.07163693"
"2005-03";"P1M";"PPI";"HK";"147.87841039"
"2005-03";"P1M";"PPI";"HR";"93.60364763"
"2005-03";"P1M";"PPI";"HU";"83.99042597"
"2005-03";"P1M";"PPI";"IE";"113.60372217"
"2005-03";"P1M";"PPI";"ILS";"130.92442309"
"2005-03";"P1M";"PPI";"IN";"113.03449899"
"2005-03";"P1M";"PPI";"IT";"93.57756982"
"2005-03";"P1M";"PPI";"JO";"194.3589472"
"2005-03";"P1M";"PPI";"JP";"139.34380202"
"2005-03";"P1M";"PPI";"KR";"110.40289984"
"2005-03";"P1M";"PPI";"LT";"89.75823837"
"2005-03";"P1M";"PPI";"LU";"85.50840442"
"2005-03";"P1M";"PPI";"LV";"102.47958655"
"2005-03";"P1M";"PPI";"MTL";"119.46293195"
"2005-03";"P1M";"PPI";"MX";"132.16959382"
"2005-03";"P1M";"PPI";"MY";"123.05005441"
"2005-03";"P1M";"PPI";"NL";"93.16774724"
"2005-03";"P1M";"PPI";"NO";"83.86499875"
"2005-03";"P1M";"PPI";"NZ";"81.78341608"
"2005-03";"P1M";"PPI";"PE";"125.6463115"
"2005-03";"P1M";"PPI";"PH";"111.73163851"
"2005-03";"P1M";"PPI";"PL";"92.2005761"
"2005-03";"P1M";"PPI";"PT";"92.26456869"
"2005-03";"P1M";"PPI";"RO";"68.17476012"
"2005-03";"P1M";"PPI";"RU";"81.66615598"
"2005-03";"P1M";"PPI";"SA";"136.95922035"
"2005-03";"P1M";"PPI";"SE";"100.9962911"
"2005-03";"P1M";"PPI";"SG";"125.65465215"
"2005-03";"P1M";"PPI";"SI";"98.52837583"
"2005-03";"P1M";"PPI";"SK";"74.09738296"
"2005-03";"P1M";"PPI";"TH";"106.2822732"
"2005-03";"P1M";"PPI";"TR";"87.72327013"
"2005-03";"P1M";"PPI";"US";"129.75066042"
"2005-03";"P1M";"PPI";"ZA";"103.90370883"
"2005-04";"P1M";"CPI";"AR";"270.67314146"
"2005-04";"P1M";"CPI";"AT";"93.1897889"
"2005-04";"P1M";"CPI";"AU";"91.75782043"
"2005-04";"P1M";"CPI";"BE";"92.83118433"
"2005-04";"P1M";"CPI";"BG";"82.8334644"
"2005-04";"P1M";"CPI";"BR";"131.19506304"
"2005-04";"P1M";"CPI";"CA";"107.65138303"
"2005-04";"P1M";"CPI";"CL";"132.52337852"
"2005-04";"P1M";"CPI";"CN";"137.50614622"
"2005-04";"P1M";"CPI";"CYP";"91.26661115"
"2005-04";"P1M";"CPI";"CZ";"80.55213469"
"2005-04";"P1M";"CPI";"DE";"95.49197113"
"2005-04";"P1M";"CPI";"DK";"93.24268114"
"2005-04";"P1M";"CPI";"EE";"88.51981541"
"2005-04";"P1M";"CPI";"EG";"174.95936292"
"2005-04";"P1M";"CPI";"ES";"88.72398735"
"2005-04";"P1M";"CPI";"FI";"96.95823888"
"2005-04";"P1M";"CPI";"FR";"93.17076653"
"2005-04";"P1M";"CPI";"GB";"105.21972626"
"2005-04";"P1M";"CPI";"GR";"87.9440041"
"2005-04";"P1M";"CPI";"HK";"155.87103638"
"2005-04";"P1M";"CPI";"HR";"89.65978667"
"2005-04";"P1M";"CPI";"HU";"75.15340747"
"2005-04";"P1M";"CPI";"IE";"88.02243144"
"2005-04";"P1M";"CPI";"ILS";"145.9461653"
"2005-04";"P1M";"CPI";"IN";"113.92917033"
"2005-04";"P1M";"CPI";"IT";"91.47456751"
"2005-04";"P1M";"CPI";"JO";"129.94997193"
"2005-04";"P1M";"CPI";"JP";"141.85885201"
"2005-04";"P1M";"CPI";"KR";"104.85718136"
"2005-04";"P1M";"CPI";"LT";"93.91535881"
"2005-04";"P1M";"CPI";"LU";"92.44033342"
"2005-04";"P1M";"CPI";"LV";"105.81989046"
"2005-04";"P1M";"CPI";"MTL";"96.50870873"
"2005-04";"P1M";"CPI";"MX";"140.40138891"
"2005-04";"P1M";"CPI";"MY";"136.09535687"
"2005-04";"P1M";"CPI";"NL";"91.35947182"
"2005-04";"P1M";"CPI";"NO";"94.95131495"
"2005-04";"P1M";"CPI";"NZ";"79.1059675"
"2005-04";"P1M";"CPI";"PE";"124.74634128"
"2005-04";"P1M";"CPI";"PH";"133.63021015"
"2005-04";"P1M";"CPI";"PL";"98.05842702"
"2005-04";"P1M";"CPI";"PT";"89.14260669"
"2005-04";"P1M";"CPI";"RO";"80.136166"
"2005-04";"P1M";"CPI";"RU";"80.79472137"
"2005-04";"P1M";"CPI";"SA";"144.1319397"
"2005-04";"P1M";"CPI";"SE";"100.57757816"
"2005-04";"P1M";"CPI";"SG";"136.06983363"
"2005-04";"P1M";"CPI";"SI";"91.29648551"
"2005-04";"P1M";"CPI";"SK";"71.44414739"
"2005-04";"P1M";"CPI";"TH";"122.1855583"
"2005-04";"P1M";"CPI";"TR";"107.26064856"
"2005-04";"P1M";"CPI";"US";"131.45828429"
"2005-04";"P1M";"CPI";"ZA";"98.10157859"
"2005-04";"P1M";"PPI";"AR";"182.92697847"
"2005-04";"P1M";"PPI";"AT";"92.02096008"
"2005-04";"P1M";"PPI";"AU";"93.05250825"
"2005-04";"P1M";"PPI";"BE";"90.92873635"
"2005-04";"P1M";"PPI";"BG";"82.71163092"
"2005-04";"P1M";"PPI";"BR";"98.00197873"
"2005-04";"P1M";"PPI";"CA";"113.24680607"
"2005-04";"P1M";"PPI";"CL";"113.90468507"
"2005-04";"P1M";"PPI";"CN";"130.08825704"
"2005-04";"P1M";"PPI";"CYP";"88.92313243"
"2005-04";"P1M";"PPI";"CZ";"78.48401516"
"2005-04";"P1M";"PPI";"DE";"92.72612848"
"2005-04";"P1M";"PPI";"DK";"88.00693816"
"2005-04";"P1M";"PPI";"EE";"95.14804971"
"2005-04";"P1M";"PPI";"EG";"146.53842323"
"2005-04";"P1M";"PPI";"ES";"92.51062543"
"2005-04";"P1M";"PPI";"FI";"106.64505871"
"2005-04";"P1M";"PPI";"FR";"94.11147501"
"2005-04";"P1M";"PPI";"GB";"102.47956065"
"2005-04";"P1M";"PPI";"GR";"89.0461734"
"2005-04";"P1M";"PPI";"HK";"145.13932274"
"2005-04";"P1M";"PPI";"HR";"92.52139654"
"2005-04";"P1M";"PPI";"HU";"84.26751505"
"2005-04";"P1M";"PPI";"IE";"112.40550342"
"2005-04";"P1M";"PPI";"ILS";"128.86682398"
"2005-04";"P1M";"PPI";"IN";"110.74397101"
"2005-04";"P1M";"PPI";"IT";"93.45894553"
"2005-04";"P1M";"PPI";"JO";"196.27027516"
"2005-04";"P1M";"PPI";"JP";"138.81263921"
"2005-04";"P1M";"PPI";"KR";"108.68711239"
"2005-04";"P1M";"PPI";"LT";"88.23872181"
"2005-04";"P1M";"PPI";"LU";"86.05768942"
"2005-04";"P1M";"PPI";"LV";"103.01801551"
"2005-04";"P1M";"PPI";"MTL";"119.02061313"
"2005-04";"P1M";"PPI";"MX";"129.19840372"
"2005-04";"P1M";"PPI";"MY";"120.094382"
"2005-04";"P1M";"PPI";"NL";"93.29496874"
"2005-04";"P1M";"PPI";"NO";"83.41796356"
"2005-04";"P1M";"PPI";"NZ";"81.06750993"
"2005-04";"P1M";"PPI";"PE";"123.57833458"
"2005-04";"P1M";"PPI";"PH";"108.26994743"
"2005-04";"P1M";"PPI";"PL";"95.19463821"
"2005-04";"P1M";"PPI";"PT";"93.00446975"
"2005-04";"P1M";"PPI";"RO";"68.25029764"
"2005-04";"P1M";"PPI";"RU";"80.26199519"
"2005-04";"P1M";"PPI";"SA";"134.22501058"
"2005-04";"P1M";"PPI";"SE";"101.23355647"
"2005-04";"P1M";"PPI";"SG";"123.82614421"
"2005-04";"P1M";"PPI";"SI";"98.43763424"
"2005-04";"P1M";"PPI";"SK";"75.34476381"
"2005-04";"P1M";"PPI";"TH";"106.59324349"
"2005-04";"P1M";"PPI";"TR";"89.10377738"
"2005-04";"P1M";"PPI";"US";"127.10284058"
"2005-04";"P1M";"PPI";"ZA";"104.02235323"
"2005-05";"P1M";"CPI";"AR";"262.95309064"
"2005-05";"P1M";"CPI";"AT";"93.1555885"
"2005-05";"P1M";"CPI";"AU";"90.6560593"
"2005-05";"P1M";"CPI";"BE";"92.75500981"
"2005-05";"P1M";"CPI";"BG";"82.64186518"
"2005-05";"P1M";"CPI";"BR";"121.28288265"
"2005-05";"P1M";"CPI";"CA";"107.65388879"
"2005-05";"P1M";"CPI";"CL";"129.19589598"
"2005-05";"P1M";"CPI";"CN";"134.76147303"
"2005-05";"P1M";"CPI";"CYP";"90.72628739"
"2005-05";"P1M";"CPI";"CZ";"80.89691013"
"2005-05";"P1M";"CPI";"DE";"95.27709462"
"2005-05";"P1M";"CPI";"DK";"93.13231251"
"2005-05";"P1M";"CPI";"EE";"88.37159913"
"2005-05";"P1M";"CPI";"EG";"171.17422237"
"2005-05";"P1M";"CPI";"ES";"88.60094447"
"2005-05";"P1M";"CPI";"FI";"97.17809094"
"2005-05";"P1M";"CPI";"FR";"93.23624629"
"2005-05";"P1M";"CPI";"GB";"105.21252332"
"2005-05";"P1M";"CPI";"GR";"87.74729299"
"2005-05";"P1M";"CPI";"HK";"152.53992129"
"2005-05";"P1M";"CPI";"HR";"89.0797364"
"2005-05";"P1M";"CPI";"HU";"76.16860626"
"2005-05";"P1M";"CPI";"IE";"87.74702553"
"2005-05";"P1M";"CPI";"ILS";"142.99910856"
"2005-05";"P1M";"CPI";"IN";"111.89708447"
"2005-05";"P1M";"CPI";"IT";"91.31753398"
"2005-05";"P1M";"CPI";"JO";"127.6609995"
"2005-05";"P1M";"CPI";"JP";"138.48901489"
"2005-05";"P1M";"CPI";"KR";"101.96807757"
"2005-05";"P1M";"CPI";"LT";"93.73809244"
"2005-05";"P1M";"CPI";"LU";"92.38855633"
"2005-05";"P1M";"CPI";"LV";"105.29268178"
"2005-05";"P1M";"CPI";"MTL";"96.06974422"
"2005-05";"P1M";"CPI";"MX";"135.40466725"
"2005-05";"P1M";"CPI";"MY";"132.67140403"
"2005-05";"P1M";"CPI";"NL";"91.37735661"
"2005-05";"P1M";"CPI";"NO";"93.45527887"
"2005-05";"P1M";"CPI";"NZ";"77.56997547"
"2005-05";"P1M";"CPI";"PE";"121.99370742"
"2005-05";"P1M";"CPI";"PH";"130.09992376"
"2005-05";"P1M";"CPI";"PL";"98.7969925"
"2005-05";"P1M";"CPI";"PT";"89.05357862"
"2005-05";"P1M";"CPI";"RO";"79.67135114"
"2005-05";"P1M";"CPI";"RU";"78.91845006"
"2005-05";"P1M";"CPI";"SA";"141.138954"
"2005-05";"P1M";"CPI";"SE";"100.84711429"
"2005-05";"P1M";"CPI";"SG";"133.38485329"
"2005-05";"P1M";"CPI";"SI";"91.37764489"
"2005-05";"P1M";"CPI";"SK";"70.92883968"
"2005-05";"P1M";"CPI";"TH";"120.4682303"
"2005-05";"P1M";"CPI";"TR";"105.02332073"
"2005-05";"P1M";"CPI";"US";"129.27866426"
"2005-05";"P1M";"CPI";"ZA";"99.06614162"
"2005-05";"P1M";"PPI";"AR";"179.11209401"
"2005-05";"P1M";"PPI";"AT";"92.42134076"
"2005-05";"P1M";"PPI";"AU";"91.74676622"
"2005-05";"P1M";"PPI";"BE";"91.38398426"
"2005-05";"P1M";"PPI";"BG";"83.54717482"
"2005-05";"P1M";"PPI";"BR";"91.99138111"
"2005-05";"P1M";"PPI";"CA";"113.03633217"
